Date,Cumulative number of case(s),Number of deaths,Number recovered,daily_difference,Open,High,Low,Close,Adj Close,Volume,Daily Adj close change,Daily Volume change
2003-06-11,8430,789,6576,5.0,984.840027,997.4799800000001,981.6099849999999,997.4799800000001,997.4799800000001,1520000000.0,12.639953000000105,244600000.0
2003-06-12,8440,790,6665,10.0,997.4799800000001,1002.73999,991.2700199999999,998.51001,998.51001,1553100000.0,1.030029999999897,33100000.0
2003-06-13,8449,792,6788,9.0,998.51001,1000.919983,984.2700199999999,988.6099849999999,988.6099849999999,1271600000.0,-9.900025000000028,-281500000.0
2003-06-16,8455,799,6984,6.0,988.6099849999999,1010.8599849999999,988.6099849999999,1010.73999,1010.73999,1345900000.0,22.130005000000097,74300000.0
2003-06-17,8459,799,7086,4.0,1010.73999,1015.330017,1007.0399779999999,1011.659973,1011.659973,1479700000.0,0.919983000000002,133800000.0
2003-06-18,8460,801,7143,1.0,1011.659973,1015.1199949999999,1004.6099849999999,1010.090027,1010.090027,1488900000.0,-1.5699460000000727,9200000.0
2003-06-19,8457,804,7173,-3.0,1010.090027,1011.2199710000001,993.080017,994.7000119999999,994.7000119999999,1530100000.0,-15.390015000000062,41200000.0
2003-06-20,8456,804,7213,-1.0,994.7000119999999,1002.090027,993.3599849999999,995.6900019999999,995.6900019999999,1698000000.0,0.9899900000000343,167900000.0
2003-06-23,8454,805,7319,-2.0,995.6900019999999,995.6900019999999,977.400024,981.6400150000001,981.6400150000001,1398100000.0,-14.049986999999874,-299900000.0
2003-06-24,8453,807,7343,-1.0,981.6400150000001,987.840027,979.080017,983.4500119999999,983.4500119999999,1388300000.0,1.8099969999998393,-9800000.0
2003-06-25,8455,808,7360,2.0,983.4500119999999,991.6400150000001,974.8599849999999,975.320007,975.320007,1459200000.0,-8.13000499999987,70900000.0
2003-06-26,8451,809,7366,-4.0,975.320007,986.5300289999999,973.7999880000001,985.820007,985.820007,1387400000.0,10.5,-71800000.0
2003-06-27,8445,810,7396,-6.0,985.820007,988.8800050000001,974.2899779999999,976.2199710000001,976.2199710000001,1267800000.0,-9.600035999999932,-119600000.0
2003-06-30,8447,811,7417,2.0,976.2199710000001,983.6099849999999,973.599976,974.5,974.5,1587200000.0,-1.7199710000001005,319400000.0
2003-07-01,8440,812,7417,-7.0,974.5,983.26001,962.099976,982.320007,982.320007,1460200000.0,7.820007000000032,-127000000.0
2003-07-02,8437,812,7419,-3.0,982.320007,993.7800289999999,982.320007,993.75,993.75,1519300000.0,11.429992999999968,59100000.0
2003-07-03,8434,812,7422,-3.0,993.75,995.0,983.340027,985.7000119999999,985.7000119999999,775900000.0,-8.049988000000099,-743400000.0
2003-07-07,8434,812,7426,0.0,985.7000119999999,1005.5599980000001,985.7000119999999,1004.419983,1004.419983,1429100000.0,18.7199710000001,653200000.0
2003-07-08,8431,812,7428,-3.0,1004.419983,1008.919983,998.7299800000001,1007.840027,1007.840027,1565700000.0,3.4200439999999617,136600000.0
2003-07-09,8431,812,7438,0.0,1007.840027,1010.429993,998.169983,1002.2100220000001,1002.2100220000001,1618000000.0,-5.630004999999869,52300000.0
2003-07-10,8432,812,7444,1.0,1002.2100220000001,1002.2100220000001,983.6300050000001,988.7000119999999,988.7000119999999,1465700000.0,-13.510010000000193,-152300000.0
2003-07-11,8432,813,7447,0.0,988.7000119999999,1000.8599849999999,988.7000119999999,998.1400150000001,998.1400150000001,1212700000.0,9.44000300000016,-253000000.0
